stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1366,831366,Orinda BART,Orinda BART,37.87796,-122.184319,0,,1
1715,831715,Bothelho Dr + Locust St,Bothelho Drive and Locust Street,37.894948,-122.060822,0,,1
902,83902,Boulevard Way + Iris Ln,Boulevard Way and Iris Lane,37.891761,-122.079155,0,,1
909,83909,Boulevard Way + Kinney Dr,Boulevard Way and Kinney Drive,37.890816,-122.080214,0,,0
905,83905,Boulevard Way + Nicholson Rd,Boulevard Way and Nicholson Road,37.895783,-122.071849,0,,1
906,83906,Boulevard Way + Nicholson Rd,Boulevard Way and Nicholson Road,37.895149,-122.072579,0,,0
901,83901,Boulevard Way + Olympic Blvd,Boulevard Way and Olympic Boulevard,37.885396,-122.07771,0,,1
910,83910,Boulevard Way + Olympic Blvd,Boulevard Way and Olympic Boulevard,37.885418,-122.077958,0,,1
904,83904,Boulevard Way + Palana Ct,Boulevard Way and Palana Court,37.894563,-122.074154,0,,1
907,83907,Boulevard Way + Rule Ct,Boulevard Way and Rule Court,37.894733,-122.074312,0,,1
903,83903,Boulevard Way + Saranap Ave,Boulevard Way and Saranap Avenue,37.893501,-122.077014,0,,1
908,83908,Boulevard Way + Saranap Ave,Boulevard Way and Saranap Avenue,37.893718,-122.076897,0,,1
1428,831428,Boyd Rd + Sequoia Elementary School,Boyd Road and Sequoia Elementary School,37.943541,-122.068869,0,,1
1426,831426,Boyd Rd + Campbell Ln,Boyd Road and Campbell Lane,37.943473,-122.065506,0,,1
1427,831427,Boyd Rd + Cleaveland Rd,Boyd Road and Cleaveland Road,37.943431,-122.063652,0,,1
1425,831425,Boyd Rd + Patterson Rd,Boyd Road and Patterson Road,37.943526,-122.069067,0,,1
1070,831070,Pleasant Hill BART,Pleasant Hill BART,37.9287,-122.055321,0,S4,1
1071,831071,Pleasant Hill BART,Pleasant Hill BART,37.92878,-122.055218,0,S4,1
1072,831072,Pleasant Hill BART,Pleasant Hill BART,37.928621,-122.055477,0,S4,1
1073,831073,Pleasant Hill BART,Pleasant Hill BART,37.928461,-122.055715,0,S4,1
1074,831074,Pleasant Hill BART,Pleasant Hill BART,37.9283,-122.0558,0,S4,1
2135,832135,Pleasant Hill BART,Pleasant Hill BART,37.928255,-122.055835,0,S4,1
2136,832136,Pleasant Hill BART,Pleasant Hill BART,37.928375,-122.055617,0,S4,1
2137,832137,Pleasant Hill BART,Pleasant Hill BART,37.928581,-122.055417,0,S4,1
S4,S4,Pleasant Hill BART,Pleasant Hill BART,37.928523,-122.056026,1,,1
1610,831610,Broadmoor Dr + Belle Meade Dr,Broadmoor Drive and Belle Meade Drive,37.730145,-121.93407,0,,1
1602,831602,Broadmoor Dr + California High,Broadmoor Drive and California High,37.747006,-121.947462,0,,1
1608,831608,Broadmoor Dr + Chestnut Ct,Broadmoor Drive and Chestnut Court,37.736178,-121.939972,0,,1
1606,831606,Broadmoor Dr + Millbridge Dr,Broadmoor Drive and Millbridge Drive,37.745193,-121.947005,0,,1
1604,831604,Broadmoor Dr + Montevideo Dr,Broadmoor Drive and Montevideo Drive,37.752438,-121.950105,0,,1
1609,831609,Broadmoor Dr + Northland Ave,Broadmoor Drive and Northland Avenue,37.73143,-121.93731,0,,1
1603,831603,Broadmoor Dr + St Denis Dr,Broadmoor Drive and Saint Denis Drive,37.748845,-121.948395,0,,1
1605,831605,Broadmoor Dr + Saint Denis Dr,Broadmoor Drive and Saint Denis Drive,37.748781,-121.948455,0,,1
1607,831607,Broadmoor Dr + Pine Valley Rd,Broadmoor Drive and Pine Valley Road,37.739261,-121.941144,0,,1
440,83440,Buchanan Rd + Campbell Dr,Buchanan Road and Campbell Drive,37.997976,-121.886527,0,,1
441,83441,Buchanan Rd + Harbor Dr,Buchanan Road and Harbor Drive,37.998065,-121.887779,0,,1
439,83439,Buchanan Rd + Inverness Dr,Buchanan Road and Inverness Drive,37.997976,-121.881877,0,,1
438,83438,Buchanan Rd + Loveridge Rd,Buchanan Road and Loveridge Road,37.997965,-121.872937,0,,1
430,83430,Buchanan Rd + Mcfaul Dr,Buchanan Road and Mcfaul Drive,37.998041,-121.87536,0,,1
2131,832131,Buchanan Rd + Meadows Ave,Buchanan Road and Meadows Avenue,37.997913,-121.863002,0,,1
2132,832132,Buchanan Rd + Meadows Ave,Buchanan Road and Meadows Avenue,37.998073,-121.864552,0,,0
432,83432,Buchanan Rd + Somersville Rd,Buchanan Road and Somersville Road,37.997938,-121.846274,0,,1
431,83431,Buchanan Rd + Suzanne Dr,Buchanan Road and Suzanne Drive,37.998041,-121.880785,0,,1
2024,832024,Buchanan Rd + Ventura Dr,Buchanan Road and Ventura Drive,37.997921,-121.867314,0,,1
2025,832025,Buchanan Rd + Ventura Dr,Buchanan Road and Ventura Drive,37.998045,-121.868982,0,,1
2210,832210,Buskirk Ave + Generations Church Of Pleasant Hill,Buskirk Avenue and Generations Church Of Pleasant Hill,37.939306,-122.059212,0,,1
1431,831431,Buskirk Ave + Lamkin Ln,Buskirk Avenue and Lamkin Lane,37.944611,-122.055517,0,,1
1429,831429,Buskirk Ave + Mayhew Way,Buskirk Avenue and Mayhew Way,37.936513,-122.059749,0,,1
1434,831434,Buskirk Ave + Mayhew Way,Buskirk Avenue and Mayhew Way,37.936958,-122.059869,0,,1
1984,831984,Buskirk Ave + The Crossroads,Buskirk Avenue and The Crossroads,37.943288,-122.05661,0,,1
1433,831433,Buskirk Ave + The Crossroads,Buskirk Avenue and The Crossroads,37.941186,-122.058728,0,,1
2239,832239,Walnut Creek BART,Walnut Creek BART,37.905344,-122.068256,0,S5,1
2241,832241,Walnut Creek BART,Walnut Creek BART,37.905561,-122.068117,0,S5,1
2242,832242,Walnut Creek BART,Walnut Creek BART,37.905626,-122.068293,0,S5,1
2243,832243,Walnut Creek BART,Walnut Creek BART,37.90569,-122.068468,0,S5,1
2244,832244,Walnut Creek BART,Walnut Creek BART,37.905759,-122.06865,0,S5,1
2246,832246,Walnut Creek BART,Walnut Creek BART,37.905691,-122.068039,0,S5,1
2247,832247,Walnut Creek BART,Walnut Creek BART,37.905758,-122.068223,0,S5,1
2248,832248,Walnut Creek BART,Walnut Creek BART,37.905823,-122.068404,0,S5,1
2249,832249,Walnut Creek BART,Walnut Creek BART,37.905886,-122.06858,0,S5,1
2250,832250,Walnut Creek BART,Walnut Creek BART,37.905949,-122.068758,0,S5,1
S5,S5,Walnut Creek BART,Walnut Creek BART,37.905511,-122.067784,1,,1
912,83912,Castlehill Rd + Arbol Grande,Castlehill Road and Arbol Grande,37.88216,-122.052742,0,,1
1167,831167,Camino Diablo + Stanley Blvd,Camino Diablo and Stanley Boulevard,37.903885,-122.09418,0,,1
1371,831371,Camino Pablo + Brookwood Rd,Camino Pablo and Brookwood Road,37.87737,-122.181382,0,,1
1369,831369,Camino Pablo + Miner Rd,Camino Pablo and Miner Road,37.888448,-122.194317,0,,0
1372,831372,Camino Pablo + Moraga Way,Camino Pablo and Moraga Way,37.877511,-122.180747,0,,1
1081,831081,Camino Ramon + Baldwin Dr,Camino Ramon and Baldwin Drive,37.79457,-121.983444,0,,1
2286,832286,Camino Ramon + Bishop Dr,Camino Ramon and Bishop Drive ,37.764917,-121.958529,0,,1
1611,831611,Camino Ramon + Fostoria Way,Camino Ramon and Fostoria Way,37.781763,-121.97049,0,,1
1080,831080,Camino Ramon + Greenbrook Dr,Camino Ramon and Greenbrook Drive,37.792985,-121.982709,0,,1
1082,831082,Camino Ramon + Saint Patricks Dr,Camino Ramon and Saint Patricks Drive,37.796375,-121.984675,0,,1
1079,831079,Camino Ramon + Saint Patricks Dr,Camino Ramon and Saint Patricks Drive,37.796053,-121.984517,0,,0
1616,831616,Camino Ramon + Bishop Ranch 7,Camino Ramon and Bishop Ranch Seven,37.771455,-121.96276,0,,1
1619,831619,Camino Ramon + Crow Canyon Rd,Camino Ramon and Crow Canyon Road,37.780611,-121.969695,0,,1
1618,831618,Camino Ramon + Crow Canyon Rd,Camino Ramon and Crow Canyon Road,37.778755,-121.968424,0,,1
1613,831613,Camino Ramon + Crow Canyon Rd,Camino Ramon and Crow Canyon Road,37.77804,-121.968205,0,,1
1612,831612,Camino Ramon + Crow Canyon Rd,Camino Ramon and Crow Canyon Road,37.780238,-121.969655,0,,1
1083,831083,Camino Ramon + El Capitan Dr,Camino Ramon and El Capitan Drive,37.800486,-121.987675,0,,1
1078,831078,Camino Ramon + El Capitan Dr,Camino Ramon and El Capitan Drive,37.799616,-121.987239,0,,1
1617,831617,Camino Ramon + Norris Canyon Rd,Camino Ramon and Norris Canyon Road,37.775473,-121.965702,0,,1
1614,831614,Camino Ramon + Norris Canyon Rd,Camino Ramon and Norris Canyon Road,37.774746,-121.965105,0,,1
2069,832069,Camino Ramon + Rose Garden,Camino Ramon and Rose Garden,37.809411,-121.991074,0,,1
1077,831077,Camino Ramon + San Thomas Way,Camino Ramon and San Thomas Way,37.804118,-121.989344,0,,0
1084,831084,Camino Ramon + San Thomas Way,Camino Ramon and San Thomas Way,37.804686,-121.989584,0,,1
1085,831085,Camino Ramon + Sycamore Valley Rd,Camino Ramon and Sycamore Valley Road,37.810293,-121.990954,0,,1
911,83911,Castlehill Rd + Garland Ct,Castlehill Road and Garland Court,37.881855,-122.054871,0,,1
2153,832153,Camino Tassajara + Blackhawk Dr,Camino Tassajara and Blackhawk Drive,37.799481,-121.882692,0,,1
2145,832145,Camino Tassajara + Charbray St,Camino Tassajara and Charbray Street,37.799246,-121.88142,0,,1
2149,832149,Camino Tassajara + Creekview Pl,Camino Tassajara and Creekview Place,37.79877,-121.888037,0,,1
1090,831090,Camino Tassajara + Creekside Ave,Camino Tassajara and Creekside Avenue,37.804958,-121.94486,0,,1
2146,832146,Camino Tassajara + Jasmine Way,Camino Tassajara and Jasmine Way,37.799588,-121.903037,0,,1
2154,832154,Camino Tassajara + Knollview Dr,Camino Tassajara and Knollview Drive,37.79922,-121.88897,0,,1
2147,832147,Camino Tassajara + Lawrence Rd,Camino Tassajara and Lawrence Road,37.799605,-121.898169,0,,1
1087,831087,Camino Tassajara + Messian Pl,Camino Tassajara and Messian Place,37.815046,-121.963417,0,,1
2148,832148,Camino Tassajara + Monterosso St,Camino Tassajara and Monterosso Street,37.799533,-121.892249,0,,1
2156,832156,Camino Tassajara + Oak Gate Dr,Camino Tassajara and Oak Gate Drive,37.79986,-121.89944,0,,1
1088,831088,Camino Tassajara + Shady Creek Dr,Camino Tassajara and Shady Creek Drive,37.811045,-121.955985,0,,1
2155,832155,Camino Tassajara + Shadow Creek Dr,Camino Tassajara and Shadow Creek Drive,37.799811,-121.89346,0,,1
1089,831089,Camino Tassajara + Sherburne Hills Dr,Camino Tassajara and Sherburne Hills Drive,37.807326,-121.949469,0,,0
1086,831086,Camino Tassajara + Sycamore Valley Rd,Camino Tassajara and Sycamore Valley Road,37.816051,-121.967709,0,,1
1092,831092,Camino Tassajara + Tassajara Ranch Dr,Camino Tassajara and Tassajara Ranch Drive,37.798918,-121.917819,0,,1
